OBJECTID,Name,SourceID,SourceOID,PosAlong,SideOfEdge,CurbApproach,Status,SnapX,SnapY,SnapZ,DistanceToNetworkInMeters,Attr_Length,Cutoff_Length,x_coord,y_coord,x_coord_dd,y_coord_dd
1,Old Redford Academy - Elementary,1,46065,0.5573537960968433,1,0,0,13422222.81955381,335706.6706036776,0,0,0,NA,-083° 15.591',+42° 24.948',-83.2598454,42.4157969
2,Lincoln-King Adams Young School - Grove Campus,1,43078,0.2030801940445421,1,0,0,13444581.29982757,335351.5088511432,0,0,0,NA,-083° 10.624',+42° 24.839',-83.17707139,42.41398569
3,Detroit Innovation Academy,1,15557,0.0756060389557018,1,0,0,13433735.94063842,319107.5566593475,0,0,0,NA,-083° 13.083',+42° 22.19',-83.21805109,42.36982819
4,Detroit International Academy for Young Women,1,45885,0.5109030131850184,2,0,0,13479299.0078139,335326.1796224414,0,0,0,NA,-083° 2.911',+42° 24.75',-83.04852115,42.41249742
5,New Paradigm Glazer Academy,1,23281,0.737073686368928,1,0,0,13460798.88888276,329943.580264791,0,0,0,NA,-083° 7.039',+42° 23.91',-83.11731782,42.39850278
6,Neinas Dual Language Learning Academy,1,34063,0.4352415363981572,1,0,0,13463906.40117719,300464.8735413839,0,0,0,NA,-083° 6.447',+42° 19.05',-83.10744641,42.31749214
7,Maybury Elementary School,1,5022,0.3675062635290872,1,0,0,13467652.10491703,300086.1313733747,0,0,0,NA,-083° 5.617',+42° 18.978',-83.09361941,42.31629838
8,Ronald Brown Academy,1,50056,0.2620327618646258,1,0,0,13506317.76789909,333106.5872866188,0,0,0,NA,-082° 56.917',+42° 24.312',-82.94861964,42.40520272
9,KIPP Detroit Imani Academy,1,8131,0.7561949823261178,1,0,0,13430212.652241,317062.8783544599,0,0,0,NA,-083° 13.871',+42° 21.861',-83.23119024,42.36434904
10,W-A-Y Academy - Chicago Site,1,8131,0.7561949823261178,1,0,0,13430212.652241,317062.8783544599,0,0,0,NA,-083° 13.871',+42° 21.861',-83.23119024,42.36434904
11,Wayne Elementary School,1,7405,0.7985420063907245,2,0,0,13504313.99282314,336816.913855461,0,0,0,NA,-082° 57.348',+42° 24.929',-82.95580777,42.41547516
12,Detroit Premier Academy,1,7216,0.5594030845389996,2,0,0,13437114.93407072,311807.9407733574,0,0,0,NA,-083° 12.355',+42° 20.98',-83.20592037,42.34967201
13,Thirkell Elementary-Middle School,1,47773,0.8532603945769757,2,0,0,13466446.59092226,318550.5201668369,0,0,0,NA,-083° 5.823',+42° 22.021',-83.09704674,42.36701074
14,Marion Law Academy,1,11154,0.6111180938872435,1,0,0,13484502.11435333,344681.036179509,0,0,0,NA,-083° 1.722',+42° 26.276',-83.02870528,42.43793966
15,Garvey Academy,1,38014,0.526840103588978,2,0,0,13492510.11993593,315684.6254610906,0,0,0,NA,-083° 0.047',+42° 21.482',-83.000785,42.35802802
16,Christ the King School,1,44221,0.3641835174794225,1,0,0,13425194.76823591,334947.5456183136,0,0,0,NA,-083° 14.933',+42° 24.816',-83.24887758,42.41360623
17,Adams-Young Building,1,21758,0.3402913864382482,2,0,0,13445364.50274686,335744.7217200369,0,0,0,NA,-083° 10.449',+42° 24.902',-83.17415068,42.41503419
18,"Edward ""Duke"" Ellington at Beckham",1,45489,0.6013441185300494,1,0,0,13497825.2908639,333982.0103122595,0,0,0,NA,-082° 58.8',+42° 24.48',-82.9800071,42.40799278
19,Renaissance High School,1,6622,0.7959972343024646,1,0,0,13439949.30781014,336103.3319068025,0,0,0,NA,-083° 11.651',+42° 24.974',-83.19418426,42.41622686
20,The SER Learning Academy - East,1,42601,0.1480582413560026,2,0,0,13497736.15183131,327943.148682924,0,0,0,NA,-082° 58.842',+42° 23.486',-82.98070521,42.39142781
21,Southeastern High School,1,50076,0.7055726740417998,2,0,0,13498703.35480247,322012.3833805028,0,0,0,NA,-082° 58.649',+42° 22.507',-82.97748747,42.37511166
22,Cesar Chavez Academy Elementary,1,12754,0.809664486543839,2,0,0,13457963.49046569,297993.4675671483,0,0,0,NA,-083° 7.773',+42° 18.657',-83.12955224,42.31095284
23,Waldorf School Assn. of Michigan,1,19756,0.3942352529364397,2,0,0,13493212.70137201,318171.491220977,0,0,0,NA,-082° 59.882',+42° 21.889',-82.9980363,42.36482003
24,Bagley Elementary School of Journalism and Technology,1,43011,0.6704148673251235,2,0,0,13451400.7141925,339411.089205182,0,0,0,NA,-083° 9.096',+42° 25.491',-83.15160325,42.42485721
25,Pathways Academy,1,3520,0.5979374250770831,2,0,0,13500673.48263559,318201.9873820205,0,0,0,NA,-082° 58.226',+42° 21.874',-82.97043104,42.36456755
26,Hope Academy,1,42908,0.1064156565395701,2,0,0,13456289.17450635,323014.4199699749,0,0,0,NA,-083° 8.063',+42° 22.78',-83.13438783,42.37967291
27,Detroit Leadership Academy K-8,1,25549,0.4649940393844041,2,0,0,13419342.33038099,324219.7523605361,0,0,0,NA,-083° 16.264',+42° 23.063',-83.27106546,42.38438173
28,Detroit Christian Schools of Excellence,1,53244,0.4738715967067992,2,0,0,13438451.95988544,342566.1588078333,0,0,0,NA,-083° 11.964',+42° 26.041',-83.19939712,42.43401686
29,Holy Redeemer Elementary School,1,8815,0.1912416992384587,1,0,0,13465641.56081575,299970.151896357,0,0,0,NA,-083° 6.064',+42° 18.964',-83.10105887,42.31606333
30,Vernor Elementary School,1,31977,0.1919702583156124,2,0,0,13443125.0058888,344359.4740978605,0,0,0,NA,-083° 10.92',+42° 26.325',-83.18199447,42.43875831
31,Pershing High School,1,37667,0.6742945045347748,1,0,0,13474882.09805102,342765.8755098569,0,0,0,NA,-083° 3.867',+42° 25.986',-83.0644495,42.43309881
32,Brenda Scott Academy for Theatre Arts,1,36628,0.3907534051783215,1,0,0,13491102.49566395,341719.3070741044,0,0,0,NA,-083° 0.266',+42° 25.771',-83.00443392,42.429523
33,Edison Elementary School,1,22345,0.730529243174172,2,0,0,13435096.64613232,329217.6789640559,0,0,0,NA,-083° 12.75',+42° 23.851',-83.21250326,42.39751773
34,Academy of The Americas High School,1,6421,0.4530215642924345,1,0,0,13462868.75094143,304093.7824534094,0,0,0,NA,-083° 6.665',+42° 19.649',-83.1110826,42.32749165
35,University Preparatory Academy (PSAD) - Elementary,1,47443,0.2274179826499901,2,0,0,13472855.35990014,318196.7669846735,0,0,0,NA,-083° 4.401',+42° 21.946',-83.0733544,42.36577245
36,Marquette Elementary-Middle School,1,19515,0.5216208548764439,2,0,0,13513328.25038859,338662.7157383696,0,0,0,NA,-082° 55.339',+42° 25.207',-82.92231282,42.42012008
37,Mackenzie Elementary-Middle School,1,48277,0.4591918674464102,2,0,0,13449505.90175319,317992.4527869185,0,0,0,NA,-083° 9.585',+42° 21.97',-83.15975785,42.36616319
38,Oakland International Academy - Middle,1,12747,0.6273904663612652,2,0,0,13481086.69428208,327053.5772469941,0,0,0,NA,-083° 2.543',+42° 23.383',-83.04238376,42.38972239
39,Keidan Special Education Center,1,16104,0.910284674731452,2,0,0,13457731.14606895,321135.7963736292,0,0,0,NA,-083° 7.749',+42° 22.468',-83.1291536,42.37446029
40,Burton International Academy,1,14545,0.2225342267835035,1,0,0,13471554.55730186,308737.9305164469,0,0,0,NA,-083° 4.722',+42° 20.392',-83.07870269,42.3398742
41,John R. King Academic and Performing Arts Academy,1,53200,0.5601322997234897,1,0,0,13441650.38959468,333236.7625082215,0,0,0,NA,-083° 11.282',+42° 24.498',-83.18803377,42.4082963
42,Henry Ford High School,1,19162,0.8200292910604232,2,0,0,13428374.53802492,344750.536635524,0,0,0,NA,-083° 14.197',+42° 26.423',-83.23661608,42.44038772
43,Noble Elementary-Middle School,1,25722,0.6668091465452153,1,0,0,13450571.79995224,323350.7385950579,0,0,0,NA,-083° 9.332',+42° 22.849',-83.15552881,42.38082335
44,The International Vocations and Careers School,1,33231,0.9434674666359079,2,0,0,13460711.41627652,344495.5263940885,0,0,0,NA,-083° 7.011',+42° 26.306',-83.11684189,42.43843392
45,Roberto Clemente Learning Academy,1,13320,0.6864573737938822,2,0,0,13461722.15326397,297341.6507342127,0,0,0,NA,-083° 6.942',+42° 18.541',-83.11569337,42.30901199
46,Cesar Chavez High School,1,12752,0.2779068580004485,1,0,0,13462051.89930783,298303.021003555,0,0,0,NA,-083° 6.865',+42° 18.698',-83.11442157,42.31163635
47,University Preparatory Art & Design Elementary,1,27172,0.5102948058629473,1,0,0,13467731.29420653,325779.5135081584,0,0,0,NA,-083° 5.513',+42° 23.208',-83.0918883,42.3867923
48,Evergreen Lutheran School,1,37752,0.7990983366832424,1,0,0,13428976.10203645,314199.3816942858,0,0,0,NA,-083° 14.154',+42° 21.392',-83.23590771,42.35653769
49,Sampson-Webber Leadership Academy,1,28275,0.7803729933418665,1,0,0,13460816.14933968,313550.071613378,0,0,0,NA,-083° 7.089',+42° 21.211',-83.11815393,42.35352157
50,WAY Michigan,1,47089,0.2758771918020022,1,0,0,13481319.39936097,306365.8773267507,0,0,0,NA,-083° 2.564',+42° 19.977',-83.04272664,42.3329502
51,Muhammad University of Islam,1,30073,0.5335157544796502,1,0,0,13427803.80483647,341142.6387027742,0,0,0,NA,-083° 14.335',+42° 25.831',-83.23890937,42.43050919
52,Coleman A. Young Elementary School,1,53203,0.5563969831760306,1,0,0,13441060.17322226,332537.5600591515,0,0,0,NA,-083° 11.415',+42° 24.384',-83.19025524,42.40640045
53,Dixon Elementary School,1,8099,0.3984982434580579,2,0,0,13426035.89515074,313398.7203962001,0,0,0,NA,-083° 14.809',+42° 21.267',-83.24682437,42.35444862
54,Detroit Cristo Rey High School,1,8584,0,1,0,0,13465205.84678477,300092.7962598354,0,0,0,NA,-083° 6.16',+42° 18.985',-83.1026629,42.3164178
55,Plymouth Educational Center,1,3769,0.4838337745297475,1,0,0,13479779.65137092,316398.008148248,0,0,0,NA,-083° 2.87',+42° 21.633',-83.0478394,42.36054232
56,University Preparatory Academy (PSAD) - Middle,1,26177,0.2294510468925072,1,0,0,13476852.2134361,316960.759547992,0,0,0,NA,-083° 3.518',+42° 21.733',-83.05863742,42.36221169
57,Detroit Service Learning Academy Campus,1,10082,1,2,0,0,13423214.085958,340061.0912073553,0,0,0,NA,-083° 15.358',+42° 25.663',-83.255962,42.427709
58,Cass Technical High School,1,33534,0.51637044962972245,2,0,0,13476706.37379764,308529.2170041226,0,0,0,NA,-083° 3.58',+42° 20.345',-83.05966128,42.33908368
59,Cesar Chavez Academy Intermediate,1,14573,0.5573497631352717,1,0,0,13459179.99741911,304447.228881276,0,0,0,NA,-083° 7.482',+42° 19.717',-83.1247032,42.32861157
60,Osborn High School,1,37697,0.1337404691833174,1,0,0,13491370.04639323,343524.7557464608,0,0,0,NA,-083° 0.2',+42° 26.068',-83.00333472,42.4344648
61,Priest Elementary-Middle School,1,48326,0.845590454083766,1,0,0,13454049.20832477,307204.3496820892,0,0,0,NA,-083° 8.612',+42° 20.183',-83.14352757,42.33638269
62,University Preparatory Art & Design Middle/High,1,16176,0.731558420523267,2,0,0,13472258.27958635,319001.8006484498,0,0,0,NA,-083° 4.531',+42° 22.08',-83.07551787,42.36800643
63,Davis Aerospace Technical High School at Golightly,1,10,0.2513301902980403,2,0,0,13505680.11023623,319848.3645013124,0,0,0,NA,-082° 57.108',+42° 22.131',-82.9518053,42.3688554
64,Pasteur Elementary School,1,44452,0.3332524751046183,1,0,0,13453708.81736249,344312.4643287399,0,0,0,NA,-083° 8.567',+42° 26.293',-83.14279136,42.43821391
65,Covenant High School East,1,31387,0.3961032264729649,1,0,0,13490318.36838161,326789.1209794975,0,0,0,NA,-083° 0.494',+42° 23.316',-83.00823034,42.3885932
66,Weston Preparatory Academy,1,5705,0.5119584004039636,1,0,0,13419223.00186025,343975.6897844115,0,0,0,NA,-083° 16.233',+42° 26.316',-83.27055511,42.43859365
67,MacDowell Preparatory Academy,1,54174,0.6615976757673278,2,0,0,13447621.54338131,342793.4103511497,0,0,0,NA,-083° 9.925',+42° 26.057',-83.16542064,42.43428648
68,Gardner Elementary School,1,52684,0.861969767074815,1,0,0,13438167.61259817,308103.6816509031,0,0,0,NA,-083° 12.133',+42° 20.368',-83.20221598,42.33946823
69,Moses Field Center,1,37201,0.6067496628513327,2,0,0,13492477.53181347,313769.6097020719,0,0,0,NA,-083° 0.061',+42° 21.167',-83.00102048,42.35277516
70,University Yes Academy,1,15488,0.5233116536739972,2,0,0,13440790.15781187,338453.5544712609,0,0,0,NA,-083° 11.457',+42° 25.359',-83.19094905,42.42264329
71,Detroit Leadership Academy High School,1,52093,0.3517388801961722,2,0,0,13430026.98030033,305044.2975329054,0,0,0,NA,-083° 13.949',+42° 19.883',-83.2324763,42.33137868
72,Detroit Public Safety Academy,1,38228,0.852827403492312,2,0,0,13474655.02460604,303509.4351007142,0,0,0,NA,-083° 4.052',+42° 19.524',-83.06753436,42.32539765
