term,estimate,std.error,statistic,p.value
(Intercept),4.3158710588081535,0.022196954965207266,194.4352757201647,0
smallest,0.06527185193396896,0.03897855207796062,1.6745581468346844,0.09417416012202035
good,0.184461728240248,0.06724576648708712,2.7430980101278095,0.00613944801833262
fair,-0.21103677636910964,0.027623097396375484,-7.639866497983693,3.321043235570057e-14
poor,-0.5406629832232346,0.07895843184026716,-6.847438210487708,9.912892483570092e-12
unsound,-0.5858162464638751,0.20139037716000305,-2.908859175522814,0.0036667236649866233
qabove_avg,0.36881363255585153,0.1428077691098906,2.5825880122253673,0.009875287212089379
yb_1910_to_1929,-0.17096844844735534,0.03205050476133097,-5.334344957138687,1.065161933141943e-7
yb_1930_to_1945,-0.08511647828578779,0.02360573586466124,-3.605754074932723,3.18718320293037e-4
crawl,-0.326165719435634,0.0815611173316121,-3.999034467729344,6.586596106767341e-5
slab,-0.18365568769015733,0.08114752463860281,-2.26323216275645,0.02372601612747014
ln_garagespaces,0.060208809234699824,0.03147758834948014,1.9127516557568232,0.05591966803234556
fireplace,0.07517328559368165,0.02249364320271987,3.341979105660923,8.468429147126682e-4
central_air,0.06872896855950321,0.02544022843152399,2.7015861411974758,0.00695805532774318
months_10to18,0.017447784840351796,0.002588936777517705,6.73936304349652,2.062970271183935e-11
