term,estimate,std.error,statistic,p.value
(Intercept),4.157746668897754,0.06973745942865499,59.61999050383162,3.064111208545372e-172
arterial,-0.17060261708317173,0.09446766356970795,-1.8059366627320426,0.07189496651390431
single_family2story,-0.1790907122232847,0.07312847788283335,-2.4489872811276663,0.014877526678103893
half_duplex2story,NA,NA,NA,NA
three_plus_baths,NA,NA,NA,NA
good,NA,NA,NA,NA
fair,NA,NA,NA,NA
poor,NA,NA,NA,NA
unsound,NA,NA,NA,NA
qbelow_avg,-0.1584476074226129,0.05778909251945307,-2.741825498804571,0.006463642250031615
yb_1910_to_1929,-0.3196615412376642,0.07968536507392261,-4.0115464231245,7.561510123175444e-5
yb_1930_to_1945,-0.14389351782898024,0.059242332029907335,-2.428896920471301,0.015711227757305785
yb_post_1990,NA,NA,NA,NA
crawl,-0.43599058028117776,0.14652573359462517,-2.975522248449406,0.00315419555533
ln_garagespaces,0.16095320545386554,0.08457791939004888,1.9030168466499624,0.05796159104328355
fireplace,0.1041723640486329,0.05936487463269373,1.75478116804213,0.08028145682831801
elec_baseboard,NA,NA,NA,NA
central_air,0.13585292604931273,0.07170347459861517,1.894649133947778,0.05906633799970794
months_10to18,0.03373899775457052,0.006801421460065602,4.96058036583504,1.1587467332726155e-6
