codd,model,dependent_variable,term,b,std_error,beta,t,sig,tolerance,vif
1,1,ln_sppsf,(Constant),4.316,0.022,,194.435,0.001,,
1,1,ln_sppsf,SMALLEST,0.065,0.039,0.038,1.675,0.094,,
1,1,ln_sppsf,GOOD,0.184,0.067,0.057,2.743,0.006,,
1,1,ln_sppsf,FAIR,-0.211,0.028,-0.161,-7.64,0.001,,
1,1,ln_sppsf,POOR,-0.541,0.079,-0.145,-6.847,0.001,,
1,1,ln_sppsf,UNSOUND,-0.586,0.201,-0.061,-2.909,0.004,,
1,1,ln_sppsf,QABOVE_AVG,0.369,0.143,0.054,2.583,0.01,,
1,1,ln_sppsf,YB_1910_TO_1929,-0.171,0.032,-0.122,-5.334,0.001,,
1,1,ln_sppsf,YB_1930_TO_1945,-0.085,0.024,-0.088,-3.606,0.001,,
1,1,ln_sppsf,CRAWL,-0.326,0.082,-0.085,-3.999,0.001,,
1,1,ln_sppsf,SLAB,-0.184,0.081,-0.048,-2.263,0.024,,
1,1,ln_sppsf,LN_GARAGESPACES,0.06,0.031,0.041,1.913,0.056,,
1,1,ln_sppsf,FIREPLACE,0.075,0.022,0.079,3.342,0.001,,
1,1,ln_sppsf,CENTRAL_AIR,0.069,0.025,0.058,2.702,0.007,,
1,1,ln_sppsf,MONTHS_10TO18,0.017,0.003,0.141,6.739,0.001,,
1,2,ln_price,(Constant),11.354,0.028,,398.798,0.001,,
1,2,ln_price,LN_LANDRATIO,0.222,0.044,0.097,5.056,0.001,,
1,2,ln_price,LN_BASE_BLDGSIZE_RATIO,0.48,0.145,0.225,3.315,0.001,,
1,2,ln_price,SMALLEST,-0.116,0.069,-0.058,-1.676,0.094,,
1,2,ln_price,SMALL,-0.085,0.038,-0.064,-2.266,0.024,,
1,2,ln_price,LARGE,0.094,0.043,0.077,2.215,0.027,,
1,2,ln_price,LARGEST,0.217,0.079,0.113,2.74,0.006,,
1,2,ln_price,TWO_BATHS,0.146,0.076,0.045,1.928,0.054,,
1,2,ln_price,GOOD,0.19,0.067,0.051,2.819,0.005,,
1,2,ln_price,FAIR,-0.205,0.028,-0.136,-7.463,0.001,,
1,2,ln_price,POOR,-0.538,0.079,-0.125,-6.832,0.001,,
1,2,ln_price,UNSOUND,-0.541,0.201,-0.048,-2.694,0.007,,
1,2,ln_price,QABOVE_AVG,0.317,0.148,0.04,2.146,0.032,,
1,2,ln_price,QBELOW_AVG,-0.056,0.025,-0.049,-2.217,0.027,,
1,2,ln_price,YB_1910_TO_1929,-0.179,0.033,-0.11,-5.363,0.001,,
1,2,ln_price,YB_1930_TO_1945,-0.091,0.024,-0.08,-3.848,0.001,,
1,2,ln_price,CRAWL,-0.329,0.081,-0.074,-4.039,0.001,,
1,2,ln_price,SLAB,-0.22,0.081,-0.05,-2.716,0.007,,
1,2,ln_price,FIREPLACE,0.085,0.026,0.078,3.257,0.001,,
1,2,ln_price,CENTRAL_AIR,0.072,0.025,0.052,2.819,0.005,,
1,2,ln_price,MONTHS_10TO18,0.018,0.003,0.126,7.001,0.001,,
1,3,ln_price,(Constant),11.285,0.027,,416.98,0.001,,
