codd,model,spssmod,df_total,df_resid,df_reg,see,r2,adj_r2,f_stat,median_ratio,mean_ratio,wmean_ratio,PRD,COD,PRB,within_10_pct,within_20_pct,within_50_pct
1,1,ccd1mod1,2055,2041,14,0.44871,0.115,0.109,18.911,,,,,,,,,
1,2,ccd1mod2,2055,2035,20,0.44593,0.35,0.344,54.872,,,,,,,,,
1,3,ccd1mod3,2055,2017,38,0.41065,0.454,0.444,44.125,0.969,1.086,0.927,1.172,0.371,,11.1,22.8,57
1,4,ccd1mod4,1898,1866,32,0.36759,0.495,0.487,57.265,0.978,1.069,0.94,1.137,0.329,-0.304,11.9,24.5,58.2
1,5,ccd1mod5,1898,1867,31,0.3675,0.487,0.478,57.166,0.978,1.069,0.94,1.137,0.329,-0.312,11.9,24.6,58.2
2,1,ccd2mod1,325,319,6,0.48195,0.314,0.301,24.336,,,,,,,,,
2,2,ccd2mod2,1739,1721,18,0.45057,0.485,0.479,89.948,,,,,,,,,
2,3,ccd2mod3,1739,1707,32,0.41568,0.565,0.557,69.291,1.023,1.128,0.945,1.194,0.383,,15.2,30.6,74.9
2,4,ccd2mod4,1593,1566,27,0.3745,0.584,0.577,81.485,1.023,1.1,0.957,1.149,0.331,-0.265,17.4,33.2,80.2
2,5,ccd2mod5,1593,1567,26,0.37438,0.575,0.568,81.679,1.023,1.1,0.957,1.149,0.331,-0.271,17.4,33.2,80.1
3,1,ccd3mod1,949,938,11,0.48741,0.095,0.084,8.952,,,,,,,,,
3,2,ccd3mod2,1393,1375,18,0.51381,0.157,0.146,14.242,,,,,,,,,
3,3,ccd3mod3,1393,1364,29,0.46496,0.315,0.301,21.662,0.982,1.112,0.903,1.231,0.41,,11.3,22.7,54
3,4,ccd3mod4,1259,1232,27,0.38961,0.401,0.388,30.586,0.999,1.076,0.934,1.152,0.336,-0.41,13,24.4,56.2
3,5,ccd3mod5,1259,1234,25,0.3893,0.392,0.379,31.787,0.999,1.076,0.934,1.152,0.336,-0.422,13,24.4,56.2
4,1,ccd4mod1,1297,1286,11,0.48765,0.099,0.091,12.833,,,,,,,,,
4,2,ccd4mod2,1707,1688,19,0.50195,0.271,0.262,32.965,,,,,,,,,
4,3,ccd4mod3,1707,1676,31,0.45332,0.409,0.398,37.471,1.009,1.131,0.917,1.233,0.412,,15.3,29.6,71.4
4,4,ccd4mod4,1576,1547,29,0.39451,0.481,0.472,49.506,0.999,1.092,0.937,1.166,0.349,-0.316,18,33.9,77.6
4,5,ccd4mod5,1576,1548,28,0.39438,0.481,0.472,51.255,0.998,1.092,0.938,1.165,0.349,-0.316,18,33.9,77.6
5,1,ccd5mod1,160,153,7,0.62746,0.393,0.365,14.139,,,,,,,,,
5,2,ccd5mod2,307,289,18,0.67436,0.535,0.506,18.447,,,,,,,,,
5,3,ccd5mod3,307,281,26,0.5948,0.648,0.615,19.896,1,1.293,0.909,1.423,0.645,,12.9,24.3,58.4
5,4,ccd5mod4,262,238,24,0.44665,0.779,0.757,35.037,1,1.147,0.944,1.215,0.437,-0.129,15.2,31.8,69.8
5,5,ccd5mod5,262,239,23,0.44576,0.774,0.752,35.521,1.002,1.146,0.943,1.215,0.436,-0.13,15.6,31.4,70
6,1,ccd6mod1,193,182,11,0.50045,0.207,0.159,4.312,,,,,,,,,
6,2,ccd6mod2,299,285,14,0.55072,0.455,0.429,17.024,,,,,,,,,
6,3,ccd6mod3,299,276,23,0.50719,0.553,0.515,14.827,1.036,1.185,0.905,1.309,0.474,,13.2,28.5,67.8
6,4,ccd6mod4,244,224,20,0.39139,0.635,0.602,19.45,1.008,1.114,0.962,1.158,0.365,-0.196,19.3,36.3,76.1
6,5,ccd6mod5,244,225,19,0.39052,0.635,0.604,20.597,1.008,1.114,0.964,1.156,0.365,-0.195,19.3,36.5,76.5
7,1,ccd7mod1,1385,1372,13,0.45073,0.138,0.13,16.922,,,,,,,,,
7,2,ccd7mod2,1805,1790,15,0.46524,0.225,0.219,34.663,,,,,,,,,
7,3,ccd7mod3,1805,1779,26,0.43019,0.342,0.332,35.487,0.989,1.097,0.914,1.2,0.376,,12.2,23.6,52.7
7,4,ccd7mod4,1623,1598,25,0.3668,0.426,0.417,47.456,1.007,1.068,0.938,1.139,0.313,-0.364,13.2,25.6,53.7
7,5,ccd7mod5,1623,1599,24,0.36668,0.402,0.393,44.794,1.007,1.068,0.937,1.14,0.312,-0.39,13.2,25.5,53.7
