"feature_type","osm_id","label","name","operator","source_geometry","longitude","latitude"
"hospital","13943654401","Corewell Health Dearborn Hospital Children's Pediatric Care Center","Corewell Health Dearborn Hospital Children's Pediatric Care Center",NA,"point",-83.2139498,42.2956574
"hospital","8032727","Henry Ford Medical Center-Cottage","Henry Ford Medical Center-Cottage","Henry Ford Health System","polygon",-82.9026695838933,42.39727125
"hospital","9355019","Trinity Health Ann Arbor Hospital","Trinity Health Ann Arbor Hospital","Trinity Health","polygon",-83.652156781273,42.26568085
"hospital","11104116","Detroit Medical Center","Detroit Medical Center",NA,"polygon",-83.0558751312634,42.35150525
"hospital","20660501","Henry Ford Hospital","Henry Ford Hospital","Henry Ford Health System","polygon",-83.0853912051128,42.3690924
"hospital",NA,"Trinity Health",NA,"Trinity Health","polygon",-83.6546529454303,42.264267
"hospital",NA,"Kresge Eye Institute","Kresge Eye Institute","Wayne State University School of Medicine","polygon",-83.0571644826527,42.35784555
"hospital",NA,"Corewell Health William Beaumont University Hospital","Corewell Health William Beaumont University Hospital","Corewell Health","polygon",-83.1928803069793,42.51387365
"hospital",NA,"Providence Park Hospital","Providence Park Hospital","Ascension","polygon",-83.5206088755933,42.4882016
"hospital",NA,"VA Ann Arbor Healthcare System","VA Ann Arbor Healthcare System","Veterans Health Administration","polygon",-83.7145252811191,42.2861215
"hospital",NA,"Garden City Hospital","Garden City Hospital","Prime Healthcare Services","polygon",-83.3139891377324,42.3323124
"hospital",NA,"Corewell Health Dearborn Hospital","Corewell Health Dearborn Hospital","Corewell Health","polygon",-83.2147365570194,42.2901126
"hospital",NA,"Beaumont Hospital - Farmington Hills","Beaumont Hospital - Farmington Hills","Beaumont Health","polygon",-83.3245968843232,42.44512185
"hospital",NA,"Henry Ford West Bloomfield Hospital","Henry Ford West Bloomfield Hospital","Henry Ford Health","polygon",-83.4069675649777,42.53434215
"hospital",NA,"Straith Hospital for Special Surgery","Straith Hospital for Special Surgery",NA,"polygon",-83.261523203076,42.4645999
"hospital",NA,"DMC Sinai-Grace Hospital","DMC Sinai-Grace Hospital","Detroit Medical Center","polygon",-83.1823820679544,42.41907925
"hospital",NA,"St. John Hospital and Medical Center","St. John Hospital and Medical Center","St. John Providence","polygon",-82.9137419222777,42.4203545
"hospital",NA,"Beaumont Hospital, Wayne","Beaumont Hospital, Wayne","Beaumont Health","polygon",-83.3653970527682,42.2728924
"hospital",NA,"Forest Health Medical Center","Forest Health Medical Center",NA,"polygon",-83.600753170953,42.237862
"hospital",NA,"Probility Physical Therapy","Probility Physical Therapy","Trinity Health","polygon",-83.6798827913881,42.24454575
"hospital",NA,"Corewell Health Beaumont Hospital","Corewell Health Beaumont Hospital","Corewell Health","polygon",-82.9138282796651,42.38350985
"hospital",NA,"John D. Dingell VA Medical Center","John D. Dingell VA Medical Center","Veterans Health Administration","polygon",-83.0589656542715,42.35522445
"hospital",NA,"Samaritan Center","Samaritan Center","Holy Cross Services","polygon",-82.9819803546397,42.3899544
"hospital",NA,"Insight Surgical Hospital","Insight Surgical Hospital","Insight","polygon",-83.0814186248606,42.451719
"hospital",NA,"Ascension Macomb-Oakland Hospital","Ascension Macomb-Oakland Hospital","Ascension","polygon",-83.0877458050373,42.4941375
"hospital",NA,"Saint John Macomb-Oakland Hospital, Warren","Saint John Macomb-Oakland Hospital, Warren","Ascension","polygon",-83.0042596921251,42.5056224
"hospital",NA,"Children's Hospital of Michigan Troy","Children's Hospital of Michigan Troy","TH Medical","polygon",-83.1531333410085,42.5633359
"hospital",NA,"Henry Ford Wyandotte Hospital","Henry Ford Wyandotte Hospital","Henry Ford Health","polygon",-83.147308512188,42.2101521
"hospital",NA,"Henry Ford Health Center - Brownstown","Henry Ford Health Center - Brownstown","Henry Ford Health System","polygon",-83.2586727711114,42.1407365
"hospital",NA,"Henry Ford Medical Center - Fairlane","Henry Ford Medical Center - Fairlane","Henry Ford Medical Center","polygon",-83.2270730250228,42.31992105
"hospital",NA,"Beaumont Hospital, Taylor","Beaumont Hospital, Taylor","Beaumont Health","polygon",-83.2765056050693,42.23473995
"hospital",NA,"Oakland Regional Hospital","Oakland Regional Hospital",NA,"polygon",-83.2033743275722,42.45761425
"hospital",NA,"Ascension Providence Hospital, Southfield Campus","Ascension Providence Hospital, Southfield Campus","Ascension","polygon",-83.2046563498097,42.45687395
"hospital",NA,"Henry Ford Health System",NA,"Henry Ford Health System","polygon",-83.2149170044674,42.41997085
"hospital",NA,"DMC Northwest Women’s Care","DMC Northwest Women’s Care","Detroit Medical Centre","polygon",-83.2632986897871,42.44231435
"hospital",NA,"Henry Ford Kingswood Hospital","Henry Ford Kingswood Hospital","Henry Ford Health System","polygon",-83.1643941963365,42.44707895
"hospital",NA,"Trinity Health",NA,"Trinity Health","polygon",-83.4047846144346,42.3932882
"hospital",NA,"StoneCrest Center","StoneCrest Center","Behavioral Centers of Amerca","polygon",-82.971188937642,42.4434624
"hospital",NA,"Behavioral Center of Michigan","Behavioral Center of Michigan",NA,"polygon",-83.0662058374164,42.50528255
"hospital",NA,"DMC Northwest Women’s Care","DMC Northwest Women’s Care","Detroit Medical Centre","polygon",-83.2633588416952,42.4425838
"hospital",NA,"Ascension Michigan Corporate Services","Ascension Michigan Corporate Services","Ascension","polygon",-83.0832657763413,42.4972476
"hospital",NA,"Walter P. Reuther Psychiatric Hospital","Walter P. Reuther Psychiatric Hospital",NA,"polygon",-83.3458014901207,42.2942165
"hospital",NA,"Hawthorn Center","Hawthorn Center",NA,"polygon",-83.4352586999689,42.41911875
"hospital",NA,"Corewell Health Trenton Hospital","Corewell Health Trenton Hospital","Corewell Health","polygon",-83.2130371503693,42.11740625
"park","8363170189","Grand River / 5th (WB)","Grand River / 5th (WB)","City of Detroit","point",-83.0649823,42.3389785
"park","8363170198","Grand River / 5th NS (EB)","Grand River / 5th NS (EB)","City of Detroit","point",-83.0646497,42.3386118
"park","8555675833","Joe Prance Recreation Area","Joe Prance Recreation Area",NA,"point",-83.2641664,42.3633348
"park","8555675835","Brennan Recreation Area","Brennan Recreation Area",NA,"point",-83.2492857,42.3691129
"park","10681765886","Arbor Oak South Park","Arbor Oak South Park",NA,"point",-83.3250583,42.4525898
"park","10681765908","Arbor Oaks Park","Arbor Oaks Park",NA,"point",-83.3250317,42.4550994
"park","10698106034","Rome Park","Rome Park",NA,"point",-83.376482,42.5661097
"park","11151160283","Commerce Towne Place Pathways","Commerce Towne Place Pathways",NA,"point",-83.4528881,42.5605402
"park","11151160284","Commerce Towne Place Pathways","Commerce Towne Place Pathways",NA,"point",-83.4502699,42.5620134
"park","11151160285","Commerce Towne Place Pathways","Commerce Towne Place Pathways",NA,"point",-83.453647,42.5624806
"park","11151160286","Commerce Towne Place Pathways","Commerce Towne Place Pathways",NA,"point",-83.450568,42.5579649
"park","12275612201","Novi Tree Farm","Novi Tree Farm",NA,"point",-83.4882958,42.5037408
"park","13353716408","Northville's Okayest tree","Northville's Okayest tree","City of Northville","point",-83.4844931,42.4283015
"park","13358389457",NA,NA,NA,"point",-82.9086676,42.4696865
"park","421660","Lakeshore Park","Lakeshore Park",NA,"polygon",-83.4946920709194,42.50487265
"park","913476","Maheras-Gentry Park","Maheras-Gentry Park","City of Detroit","polygon",-82.9500966858648,42.35810885
"park","2991698","Heritage Park","Heritage Park",NA,"polygon",-83.3844158809896,42.4766516
"park","5964354","Lower Rouge Parkway","Lower Rouge Parkway",NA,"polygon",-83.3419740766162,42.29092505
"park","6213631","Proud Lake State Recreation Area","Proud Lake State Recreation Area",NA,"polygon",-83.5421716935059,42.5714029
"park","6601938","Hines Parkway","Hines Parkway",NA,"polygon",-83.4677822450385,42.38864215
"park","6779572","Sylvan Park","Sylvan Park","City of Ann Arbor","polygon",-83.6859639596279,42.2518117
"park","6784751","Oakridge Nature Area","Oakridge Nature Area",NA,"polygon",-83.7017837197746,42.2865682
"park","6786374","Island Park","Island Park","Ann Arbor Parks and Recreation","polygon",-83.7290710978567,42.29041365
"park","6794807","Fuller Park","Fuller Park","Ann Arbor Parks and Recreation","polygon",-83.7282247166148,42.28879095
"park","7253670",NA,NA,NA,"polygon",-83.2094832669855,42.3252279
"park","7579345","Lower Huron Metropark","Lower Huron Metropark",NA,"polygon",-83.4255718658358,42.17819285
"park","7949580","CCS Business Green","CCS Business Green",NA,"polygon",-83.0631297032422,42.36228215
"park","8032709","Balduck Memorial Park","Balduck Memorial Park","Detroit Parks & Recreation Department","polygon",-82.9187986199243,42.4140036
"park","8033581","Keast Commons","Keast Commons",NA,"polygon",-83.0721391418035,42.35773775
"park","8033582","WSU East Campus Green","WSU East Campus Green",NA,"polygon",-83.0684237143103,42.3582367
"park","8065363","Riverside Park","Riverside Park","City of Detroit","polygon",-83.0770475174169,42.31421795
"park","8226280","Arjay Miller Arboretum","Arjay Miller Arboretum",NA,"polygon",-83.2135576122948,42.31862265
"park","8363848","Civic Center Park","Civic Center Park",NA,"polygon",-83.2439899241194,42.13223505
"park","8530126","United Irish Societies Plaza","United Irish Societies Plaza",NA,"polygon",-83.0617028037061,42.33121735
"park","8813240","Conant-Minnesota Park","Conant-Minnesota Park",NA,"polygon",-83.0671249810123,42.4244921
"park","9095219","Latham Playground","Latham Playground",NA,"polygon",-83.0086261892527,42.37966025
"park","9114076","Pingree Park","Pingree Park",NA,"polygon",-83.0069717422785,42.3768888
"park","9123171","Brush Park","Brush Park","City of Detroit","polygon",-83.0506180365127,42.3435597
"park","9349804",NA,NA,NA,"polygon",-83.5509556241721,42.2356059
"park","9453200","Chandler Park","Chandler Park",NA,"polygon",-82.9750640707579,42.3966131
"park","9623180","Charlotte M. Rothstein Park","Charlotte M. Rothstein Park",NA,"polygon",-83.190990709173,42.4765049
"park","9820143","Lake Saint Clair Metropark","Lake Saint Clair Metropark","Huron-Clinton Metropolitan Authority","polygon",-82.8029516921799,42.57803255
"park","10012029","Grand Circus Park","Grand Circus Park",NA,"polygon",-83.0513467684536,42.3363743
"park","10391031","Nichols Arboretum","Nichols Arboretum","University of Michigan","polygon",-83.7223751156264,42.2790761
"park","10921219","Ward Woods Trails","Ward Woods Trails",NA,"polygon",-83.4404056452877,42.41631715
"park","11809325","Roosevelt Park","Roosevelt Park",NA,"polygon",-83.0772606649435,42.33042965
"park","12188067","River Rouge Park","River Rouge Park","City of Detroit","polygon",-83.253927802297,42.364384
"park","12188068",NA,NA,NA,"polygon",-83.253927802297,42.364384
