"record_type","model_name","data_name","model_class","formula","created_at","bundle_created_at","n","r","r_squared","adj_r_squared","see","ss_regression","ss_residual","ss_total","df_regression","df_residual","df_total","ms_regression","ms_residual","f","significance","sigma","aic","bic","rmse","mae","term","estimate","std_error","t_value","p_value"
"model","cod_mod_time_23_25","data","lm","ln_sppsf ~ single_family1story + smallest + small + large + two_plus_baths + powder_room + good + fair + poor + very_poor_unsound + qabove_avg + qbelow_avg + yb_pre_1929 + yb_1946_to_1960 + yb_post_1961 + ln_garagespaces + fireplace + hot_water + wall + central_air + months_1to9 + months_10to16","2026-02-18 21:45:55 UTC","2026-02-18 21:45:55 UTC",9309,0.357254,0.12763,0.125564,0.510429,353.95843,2419.350651,2773.309081,22,9286,9308,16.08902,0.260537,61.753196,0,0.510429,13922.083056,14093.412742,0.509798,0.412258,NA,NA,NA,NA,NA
"model","cod_mod_ln_price_no_ecf_23_25","data","lm","ln_price ~ ln_landratio + ln_base_bldgsize_ratio + single_family1story + half_duplex1story + large + largest + two_plus_baths + powder_room + good + fair + poor + very_poor_unsound + qabove_avg + qbelow_avg + yb_pre_1929 + yb_1946_to_1960 + fireplace + hot_water + elec_baseboard + wall + central_air + months_1to9 + months_10to16","2026-02-18 21:45:55 UTC","2026-02-18 21:45:55 UTC",13831,0.580252,0.336693,0.335588,0.526755,1944.627724,3831.046537,5775.674261,23,13807,13830,84.549031,0.277471,304.712685,0,0.526755,21544.793474,21733.160167,0.526298,0.422814,NA,NA,NA,NA,NA
"model","cod_mod_base_23_25","data","lm","ln_price ~ ln_landratio + ln_base_bldgsize_ratio + half_duplex1story + half_duplex2story + largest + two_plus_baths + good + fair + poor + very_poor_unsound + qabove_avg + qbelow_avg + yb_pre_1929 + yb_1946_to_1960 + yb_post_1961 + slab + ln_garagespaces + fireplace + hot_water + wall + central_air + ecf_1R103 + ecf_1R105 + ecf_1R106 + ecf_1R108 + ecf_1R113 + ecf_1R114 + ecf_1R115 + ecf_1R116 + ecf_1R119 + ecf_1R122 + ecf_1R124 + ecf_1R126 + ecf_1R127 + ecf_1R128 + ecf_1R130 + ecf_1R132 + ecf_1R133 + ecf_1R134 + ecf_1R136 + ecf_1R137 + ecf_2R201 + ecf_2R203 + ecf_2R204 + ecf_2R208 + ecf_2R209 + ecf_2R210 + ecf_2R211 + ecf_2R213 + ecf_2R214 + ecf_2R215 + ecf_2R216 + ecf_2R218 + ecf_2R219 + ecf_2R220 + ecf_2R222 + ecf_2R224 + ecf_2R226 + ecf_2R228 + ecf_2R229 + ecf_2R230 + ecf_3R301 + ecf_3R303 + ecf_3R304 + ecf_3R305 + ecf_3R306 + ecf_3R307 + ecf_3R308 + ecf_3R309 + ecf_3R310 + ecf_3R311 + ecf_3R312 + ecf_3R313 + ecf_3R314 + ecf_3R315 + ecf_3R316 + ecf_3R317 + ecf_3R319 + ecf_3R320 + ecf_3R321 + ecf_3R322 + ecf_3R323 + ecf_3R324 + ecf_3R325 + ecf_3R326 + ecf_4R401 + ecf_4R402 + ecf_4R403 + ecf_4R404 + ecf_4R405 + ecf_4R406 + ecf_4R407 + ecf_4R408 + ecf_4R409 + ecf_4R411 + ecf_4R412 + ecf_4R413 + ecf_4R414 + ecf_4R415 + ecf_4R416 + ecf_4R419 + ecf_4R421 + ecf_4R422 + ecf_5R501 + ecf_5R502 + ecf_5R503 + ecf_5R504 + ecf_5R505 + ecf_5R506 + ecf_5R508 + ecf_5R509 + ecf_5R512 + ecf_5R514 + ecf_5R517 + ecf_5R521 + ecf_5R523 + ecf_5R524 + ecf_5R528 + ecf_5R529 + ecf_5R530 + ecf_5R531 + ecf_5R532 + ecf_5R533 + ecf_5r538 + ecf_6R601 + ecf_6R602 + ecf_6R603 + ecf_6R604 + ecf_6R606 + ecf_6R608 + ecf_6R609 + ecf_6R614 + ecf_6R618 + ecf_6R620 + ecf_7R701 + ecf_7R702 + ecf_7R703 + ecf_7R704 + ecf_7R705 + ecf_7R706 + ecf_7R707 + ecf_7R708 + ecf_7R709 + ecf_7R711 + ecf_7R712 + ecf_7R713 + ecf_7R714 + ecf_7R715 + ecf_7R716 + ecf_7R717 + ecf_7R718 + ecf_7R719 + ecf_7R720 + ecf_7R722 + ecf_7R724 + ecf_CGRS6 + months_1to9 + months_10to16","2026-02-18 21:45:55 UTC","2026-02-18 21:45:55 UTC",9309,0.711461,0.506176,0.497924,0.446213,1868.414592,1822.817416,3691.232008,153,9155,9308,12.21186,0.199106,61.333394,0,0.446213,11548.557671,12655.061898,0.442507,0.361057,NA,NA,NA,NA,NA
"model","cod_mod_base_inliers_23_25","data","lm","ln_price ~ ln_landratio + ln_base_bldgsize_ratio + half_duplex1story + half_duplex2story + largest + good + fair + poor + very_poor_unsound + qabove_avg + qbelow_avg + yb_pre_1929 + yb_1946_to_1960 + yb_post_1961 + slab + fireplace + hot_water + central_air + ecf_1R102 + ecf_1R103 + ecf_1R105 + ecf_1R106 + ecf_1R108 + ecf_1R109 + ecf_1R113 + ecf_1R114 + ecf_1R115 + ecf_1R116 + ecf_1R117 + ecf_1R118 + ecf_1R119 + ecf_1R121 + ecf_1R122 + ecf_1R123 + ecf_1R124 + ecf_1R126 + ecf_1R127 + ecf_1R128 + ecf_1R129 + ecf_1R130 + ecf_1R131 + ecf_1R133 + ecf_1R134 + ecf_1R135 + ecf_1R136 + ecf_1R137 + ecf_2R201 + ecf_2R202 + ecf_2R205 + ecf_2R208 + ecf_2R209 + ecf_2R210 + ecf_2R211 + ecf_2R212 + ecf_2R214 + ecf_2R215 + ecf_2R216 + ecf_2R218 + ecf_2R219 + ecf_2R220 + ecf_2R221 + ecf_2R222 + ecf_2R223 + ecf_2R224 + ecf_2R225 + ecf_2R226 + ecf_2R228 + ecf_2R229 + ecf_2R230 + ecf_3R301 + ecf_3R303 + ecf_3R304 + ecf_3R305 + ecf_3R306 + ecf_3R307 + ecf_3R308 + ecf_3R309 + ecf_3R310 + ecf_3R311 + ecf_3R312 + ecf_3R313 + ecf_3R314 + ecf_3R315 + ecf_3R316 + ecf_3R317 + ecf_3R318 + ecf_3R319 + ecf_3R320 + ecf_3R321 + ecf_3R322 + ecf_3R323 + ecf_3R324 + ecf_3R325 + ecf_3R326 + ecf_4R401 + ecf_4R402 + ecf_4R403 + ecf_4R404 + ecf_4R405 + ecf_4R406 + ecf_4R407 + ecf_4R408 + ecf_4R409 + ecf_4R410 + ecf_4R411 + ecf_4R412 + ecf_4R413 + ecf_4R414 + ecf_4R415 + ecf_4R416 + ecf_4R417 + ecf_4R419 + ecf_4R421 + ecf_4R422 + ecf_5R501 + ecf_5R502 + ecf_5R503 + ecf_5R504 + ecf_5R505 + ecf_5R506 + ecf_5R508 + ecf_5R509 + ecf_5R511 + ecf_5R512 + ecf_5R514 + ecf_5R517 + ecf_5R521 + ecf_5R523 + ecf_5R524 + ecf_5R528 + ecf_5R529 + ecf_5R530 + ecf_5R533 + ecf_5r538 + ecf_6R601 + ecf_6R602 + ecf_6R603 + ecf_6R604 + ecf_6R606 + ecf_6R608 + ecf_6R609 + ecf_6R611 + ecf_6R612 + ecf_6R614 + ecf_6R615 + ecf_6R618 + ecf_6R620 + ecf_7R701 + ecf_7R702 + ecf_7R703 + ecf_7R704 + ecf_7R705 + ecf_7R706 + ecf_7R707 + ecf_7R708 + ecf_7R709 + ecf_7R710 + ecf_7R711 + ecf_7R712 + ecf_7R713 + ecf_7R714 + ecf_7R715 + ecf_7R716 + ecf_7R717 + ecf_7R718 + ecf_7R719 + ecf_7R720 + ecf_7R722 + ecf_7R724 + ecf_CGRS6 + months_1to9 + months_10to16","2026-02-18 21:45:55 UTC","2026-02-18 21:45:55 UTC",8441,0.754668,0.569524,0.561576,0.382118,1600.862418,1210.017232,2810.87965,153,8287,8440,10.463153,0.146014,71.658607,0,0.382118,7868.163254,8959.495944,0.378616,0.316881,NA,NA,NA,NA,NA
"model","cod_mod_tasp_23_25","data","lm","ln_tasp_re ~ ln_landratio + ln_base_bldgsize_ratio + half_duplex1story + half_duplex2story + largest + good + fair + poor + very_poor_unsound + qabove_avg + qbelow_avg + yb_pre_1929 + yb_1946_to_1960 + yb_post_1961 + slab + fireplace + hot_water + central_air + ecf_1R102 + ecf_1R103 + ecf_1R105 + ecf_1R106 + ecf_1R108 + ecf_1R109 + ecf_1R110 + ecf_1R113 + ecf_1R114 + ecf_1R115 + ecf_1R116 + ecf_1R117 + ecf_1R118 + ecf_1R119 + ecf_1R121 + ecf_1R122 + ecf_1R123 + ecf_1R124 + ecf_1R126 + ecf_1R127 + ecf_1R128 + ecf_1R129 + ecf_1R130 + ecf_1R131 + ecf_1R133 + ecf_1R134 + ecf_1R135 + ecf_1R136 + ecf_1R137 + ecf_2R201 + ecf_2R202 + ecf_2R205 + ecf_2R208 + ecf_2R209 + ecf_2R210 + ecf_2R211 + ecf_2R212 + ecf_2R214 + ecf_2R215 + ecf_2R216 + ecf_2R218 + ecf_2R219 + ecf_2R220 + ecf_2R221 + ecf_2R222 + ecf_2R223 + ecf_2R224 + ecf_2R225 + ecf_2R226 + ecf_2R228 + ecf_2R229 + ecf_2R230 + ecf_3R301 + ecf_3R303 + ecf_3R304 + ecf_3R305 + ecf_3R306 + ecf_3R307 + ecf_3R308 + ecf_3R309 + ecf_3R310 + ecf_3R311 + ecf_3R312 + ecf_3R313 + ecf_3R314 + ecf_3R315 + ecf_3R316 + ecf_3R317 + ecf_3R318 + ecf_3R319 + ecf_3R320 + ecf_3R321 + ecf_3R322 + ecf_3R323 + ecf_3R324 + ecf_3R325 + ecf_3R326 + ecf_4R401 + ecf_4R402 + ecf_4R403 + ecf_4R404 + ecf_4R405 + ecf_4R406 + ecf_4R407 + ecf_4R408 + ecf_4R409 + ecf_4R410 + ecf_4R411 + ecf_4R412 + ecf_4R413 + ecf_4R414 + ecf_4R415 + ecf_4R416 + ecf_4R417 + ecf_4R419 + ecf_4R421 + ecf_4R422 + ecf_5R501 + ecf_5R502 + ecf_5R503 + ecf_5R504 + ecf_5R505 + ecf_5R506 + ecf_5R508 + ecf_5R509 + ecf_5R511 + ecf_5R512 + ecf_5R514 + ecf_5R517 + ecf_5R523 + ecf_5R524 + ecf_5R528 + ecf_5R529 + ecf_5R533 + ecf_5r538 + ecf_6R601 + ecf_6R602 + ecf_6R603 + ecf_6R604 + ecf_6R606 + ecf_6R608 + ecf_6R609 + ecf_6R611 + ecf_6R612 + ecf_6R614 + ecf_6R615 + ecf_6R618 + ecf_6R620 + ecf_7R701 + ecf_7R702 + ecf_7R703 + ecf_7R704 + ecf_7R705 + ecf_7R706 + ecf_7R707 + ecf_7R708 + ecf_7R709 + ecf_7R710 + ecf_7R711 + ecf_7R712 + ecf_7R713 + ecf_7R714 + ecf_7R715 + ecf_7R716 + ecf_7R717 + ecf_7R718 + ecf_7R719 + ecf_7R720 + ecf_7R722 + ecf_7R724 + ecf_CGRS6","2026-02-18 21:45:55 UTC","2026-02-18 21:45:55 UTC",8441,0.750315,0.562972,0.555064,0.382166,1559.68306,1210.762366,2770.445426,150,8290,8440,10.397887,0.146051,71.193561,0,0.382166,7867.359663,8937.569784,0.378732,0.317132,NA,NA,NA,NA,NA
"model","cod_mod_alt_23_25","data","lm","ln_tasp_re ~ ln_landratio + lnsbldsfint + half_duplex1story + largest + two_plus_baths + powder_room + good + fair + poor + very_poor_unsound + qabove_avg + qbelow_avg + yb_pre_1929 + yb_1946_to_1960 + yb_post_1961 + slab + garage + fireplace + hot_water + central_air + ecf_1R102 + ecf_1R104 + ecf_1R105 + ecf_1R106 + ecf_1R107 + ecf_1R108 + ecf_1R109 + ecf_1R110 + ecf_1R112 + ecf_1R113 + ecf_1R114 + ecf_1R116 + ecf_1R117 + ecf_1R118 + ecf_1R119 + ecf_1R120 + ecf_1R121 + ecf_1R122 + ecf_1R123 + ecf_1R124 + ecf_1R125 + ecf_1R126 + ecf_1R127 + ecf_1R128 + ecf_1R129 + ecf_1R130 + ecf_1R131 + ecf_1R132 + ecf_1R133 + ecf_1R135 + ecf_1R136 + ecf_1R137 + ecf_2R201 + ecf_2R202 + ecf_2R203 + ecf_2R205 + ecf_2R207 + ecf_2R208 + ecf_2R210 + ecf_2R211 + ecf_2R212 + ecf_2R213 + ecf_2R215 + ecf_2R216 + ecf_2R218 + ecf_2R219 + ecf_2R220 + ecf_2R221 + ecf_2R222 + ecf_2R223 + ecf_2R224 + ecf_2R225 + ecf_2R226 + ecf_2R228 + ecf_2R229 + ecf_2R230 + ecf_3R301 + ecf_3R303 + ecf_3R304 + ecf_3R305 + ecf_3R307 + ecf_3R308 + ecf_3R309 + ecf_3R310 + ecf_3R311 + ecf_3R312 + ecf_3R313 + ecf_3R314 + ecf_3R315 + ecf_3R316 + ecf_3R317 + ecf_3R318 + ecf_3R319 + ecf_3R320 + ecf_3R321 + ecf_3R322 + ecf_3R323 + ecf_3R324 + ecf_3R325 + ecf_3R326 + ecf_4R401 + ecf_4R402 + ecf_4R403 + ecf_4R404 + ecf_4R405 + ecf_4R406 + ecf_4R407 + ecf_4R408 + ecf_4R409 + ecf_4R410 + ecf_4R411 + ecf_4R412 + ecf_4R413 + ecf_4R416 + ecf_4R417 + ecf_4R419 + ecf_4R421 + ecf_5R501 + ecf_5R502 + ecf_5R503 + ecf_5R504 + ecf_5R505 + ecf_5R506 + ecf_5R508 + ecf_5R509 + ecf_5R511 + ecf_5R512 + ecf_5R514 + ecf_5R517 + ecf_5R523 + ecf_5R524 + ecf_5R528 + ecf_5R529 + ecf_5R533 + ecf_5R534 + ecf_5r538 + ecf_5R539 + ecf_6R601 + ecf_6R602 + ecf_6R603 + ecf_6R604 + ecf_6R605 + ecf_6R606 + ecf_6R609 + ecf_6R611 + ecf_6R612 + ecf_6R614 + ecf_6R615 + ecf_6R618 + ecf_6R620 + ecf_7R701 + ecf_7R703 + ecf_7R704 + ecf_7R705 + ecf_7R706 + ecf_7R707 + ecf_7R708 + ecf_7R709 + ecf_7R710 + ecf_7R711 + ecf_7R712 + ecf_7R713 + ecf_7R714 + ecf_7R715 + ecf_7R716 + ecf_7R717 + ecf_7R718 + ecf_7R719 + ecf_7R720 + ecf_7R721 + ecf_7R722 + ecf_7R723 + ecf_7R724 + ecf_CGRS6","2026-02-18 21:45:55 UTC","2026-02-18 21:45:55 UTC",8441,0.750745,0.563618,0.555508,0.381976,1561.473151,1208.972276,2770.445426,154,8286,8440,10.139436,0.145905,69.493212,0,0.381976,7862.870561,8961.244107,0.378452,0.31667,NA,NA,NA,NA,NA
"coefficient","cod_mod_time_23_25","data",NA,NA,"2026-02-18 21:45:55 UTC",NA,9309,0.357254,0.12763,0.125564,0.510429,353.95843,2419.350651,2773.309081,22,9286,9308,16.08902,0.260537,61.753196,0,0.510429,13922.083056,14093.412742,0.509798,0.412258,"(Intercept)",4.029811,0.021478,187.628077,0
"coefficient","cod_mod_time_23_25","data",NA,NA,"2026-02-18 21:45:55 UTC",NA,9309,0.357254,0.12763,0.125564,0.510429,353.95843,2419.350651,2773.309081,22,9286,9308,16.08902,0.260537,61.753196,0,0.510429,13922.083056,14093.412742,0.509798,0.412258,"single_family1story",0.040347,0.015357,2.627309,0.00862
"coefficient","cod_mod_time_23_25","data",NA,NA,"2026-02-18 21:45:55 UTC",NA,9309,0.357254,0.12763,0.125564,0.510429,353.95843,2419.350651,2773.309081,22,9286,9308,16.08902,0.260537,61.753196,0,0.510429,13922.083056,14093.412742,0.509798,0.412258,"smallest",0.137617,0.022058,6.238735,0
"coefficient","cod_mod_time_23_25","data",NA,NA,"2026-02-18 21:45:55 UTC",NA,9309,0.357254,0.12763,0.125564,0.510429,353.95843,2419.350651,2773.309081,22,9286,9308,16.08902,0.260537,61.753196,0,0.510429,13922.083056,14093.412742,0.509798,0.412258,"small",0.055776,0.015234,3.661226,0.000252
