"record_type","model_name","data_name","model_class","formula","created_at","bundle_created_at","n","r","r_squared","adj_r_squared","see","ss_regression","ss_residual","ss_total","df_regression","df_residual","df_total","ms_regression","ms_residual","f","significance","aic","bic","rmse","mae","term","estimate","std_error","t_value","p_value","type","edf","ref_df"
"model","cod_nlmod_time_23_25","df","gam/glm/lm","ln_sppsf ~ arterial + single_family1story + half_duplex1story + half_duplex2story + smallest + small + large + largest + two_plus_baths + powder_room + good + fair + poor + very_poor_unsound + qabove_avg + qbelow_avg + s(sresb_yearbuilt, bs = ""cs"", k = 10) + crawl + slab + s(ln_garagespaces, bs = ""cs"", k = 4) + fireplace + hot_water + elec_baseboard + wall + central_air + s(months, bs = ""cs"", k = 10)","2026-02-18 21:55:36 UTC","2026-02-18 21:55:36 UTC",9309,0.370003,0.136902,0.133432,0.508127,379.67164,2393.63744,2773.309081,44,9270.723496,9308,8.628901,0.258193,33.420331,0,13857.166273,14151.818133,0.507081,0.409183,NA,NA,NA,NA,NA,NA,NA,NA
"model","cod_nlmod_ln_price_no_ecf_23_25","df","gam/glm/lm","ln_price ~ s(ln_landratio, bs = ""cs"", k = 10) + s(ln_base_bldgsize_ratio, bs = ""cs"", k = 10) + arterial + single_family1story + half_duplex1story + half_duplex2story + smallest + small + large + largest + two_plus_baths + powder_room + good + fair + poor + very_poor_unsound + qabove_avg + qbelow_avg + s(sresb_yearbuilt, bs = ""cs"", k = 10) + crawl + slab + s(ln_garagespaces, bs = ""cs"", k = 4) + fireplace + hot_water + elec_baseboard + wall + central_air + s(months, bs = ""cs"", k = 10)","2026-02-18 21:55:36 UTC","2026-02-18 21:55:36 UTC",9309,0.603563,0.364289,0.361152,0.503334,1344.673758,2346.55825,3691.232008,62,9262.304378,9308,21.688286,0.253345,85.607724,0,13689.53044,14045.869995,0.50207,0.404838,NA,NA,NA,NA,NA,NA,NA,NA
"model","cod_nlmod_base_23_25","df","gam/glm/lm","ln_price ~ s(ln_landratio, bs = ""cs"", k = 10) + s(ln_base_bldgsize_ratio, bs = ""cs"", k = 10) + arterial + single_family1story + half_duplex1story + half_duplex2story + smallest + small + large + largest + two_plus_baths + powder_room + good + fair + poor + very_poor_unsound + qabove_avg + qbelow_avg + s(sresb_yearbuilt, bs = ""cs"", k = 10) + crawl + slab + s(ln_garagespaces, bs = ""cs"", k = 4) + fireplace + hot_water + elec_baseboard + wall + central_air + s(months, bs = ""cs"", k = 10) + ecf","2026-02-18 21:55:36 UTC","2026-02-18 21:55:36 UTC",9309,0.714126,0.509976,0.49835,0.446024,1882.440408,1808.7916,3691.232008,243,9092.28459,9308,7.746668,0.198937,38.940314,0,11607.318715,13180.221237,0.440801,0.359995,NA,NA,NA,NA,NA,NA,NA,NA
"model","cod_nlmod_tasp_23_25","dfa","gam/glm/lm","ln_tasp_re ~ s(ln_landratio, bs = ""cs"", k = 10) + s(ln_base_bldgsize_ratio, bs = ""cs"", k = 10) + arterial + single_family1story + half_duplex1story + half_duplex2story + smallest + small + large + largest + two_plus_baths + powder_room + good + fair + poor + very_poor_unsound + qabove_avg + qbelow_avg + s(sresb_yearbuilt, bs = ""cs"", k = 10) + crawl + slab + s(ln_garagespaces, bs = ""cs"", k = 4) + fireplace + hot_water + elec_baseboard + wall + central_air + ecf + s(months, bs = ""cs"", k = 10)","2026-02-18 21:55:36 UTC","2026-02-18 21:55:36 UTC",8441,0.752021,0.565536,0.555149,0.38213,1566.786435,1203.658992,2770.445426,229,8242.941515,8440,6.841862,0.146023,46.854691,0,7915.745048,9331.145103,0.37762,0.315856,NA,NA,NA,NA,NA,NA,NA,NA
"model","cod_nlmod_alt_23_25","dfa","gam/glm/lm","ln_tasp_re ~ s(ln_landratio, bs = ""cs"", k = 10) + s(lnsbldsfint, bs = ""cs"", k = 10) + arterial + single_family1story + half_duplex1story + half_duplex2story + smallest + small + large + largest + two_plus_baths + powder_room + good + fair + poor + very_poor_unsound + qabove_avg + qbelow_avg + s(sresb_yearbuilt, bs = ""cs"", k = 10) + crawl + slab + garage + fireplace + hot_water + elec_baseboard + wall + central_air + ecf + s(months, bs = ""cs"", k = 10)","2026-02-18 21:55:36 UTC","2026-02-18 21:55:36 UTC",8441,0.752081,0.565626,0.555247,0.382088,1567.036982,1203.408445,2770.445426,226,8243.030298,8440,6.933792,0.145991,47.494645,0,7911.723658,9319.152848,0.377581,0.315808,NA,NA,NA,NA,NA,NA,NA,NA
"model","cod_nlmod_alt2_23_25","dfa","gam/glm/lm","ln_tasp_re ~ s(ln_landratio, bs = ""cs"", k = 10) + s(lnsbldsfint, bs = ""cs"", k = 10) + arterial + single_family1story + half_duplex1story + half_duplex2story + smallest + small + large + largest + two_plus_baths + powder_room + good + fair + poor + very_poor_unsound + qabove_avg + qbelow_avg + s(sresb_yearbuilt, bs = ""cs"", k = 10) + crawl + slab + garage + fireplace + hot_water + elec_baseboard + wall + central_air + ecf","2026-02-18 21:55:36 UTC","2026-02-18 21:55:36 UTC",8441,0.751959,0.565443,0.555105,0.382149,1566.528132,1203.917295,2770.445426,217,8243.885463,8440,7.219024,0.146038,49.432635,0,7912.455447,9309.898397,0.37766,0.315922,NA,NA,NA,NA,NA,NA,NA,NA
"coefficient","cod_nlmod_time_23_25","df",NA,NA,"2026-02-18 21:55:36 UTC",NA,9309,0.370003,0.136902,0.133432,0.508127,379.67164,2393.63744,2773.309081,44,9270.723496,9308,8.628901,0.258193,33.420331,0,13857.166273,14151.818133,0.507081,0.409183,"(Intercept)",4.134466,0.020015,206.565358,0,"parametric",NA,NA
"coefficient","cod_nlmod_time_23_25","df",NA,NA,"2026-02-18 21:55:36 UTC",NA,9309,0.370003,0.136902,0.133432,0.508127,379.67164,2393.63744,2773.309081,44,9270.723496,9308,8.628901,0.258193,33.420331,0,13857.166273,14151.818133,0.507081,0.409183,"arterial",-0.006069,0.020283,-0.299193,0.7648,"parametric",NA,NA
"coefficient","cod_nlmod_time_23_25","df",NA,NA,"2026-02-18 21:55:36 UTC",NA,9309,0.370003,0.136902,0.133432,0.508127,379.67164,2393.63744,2773.309081,44,9270.723496,9308,8.628901,0.258193,33.420331,0,13857.166273,14151.818133,0.507081,0.409183,"single_family1story",0.034345,0.016816,2.04245,0.041135,"parametric",NA,NA
"coefficient","cod_nlmod_time_23_25","df",NA,NA,"2026-02-18 21:55:36 UTC",NA,9309,0.370003,0.136902,0.133432,0.508127,379.67164,2393.63744,2773.309081,44,9270.723496,9308,8.628901,0.258193,33.420331,0,13857.166273,14151.818133,0.507081,0.409183,"half_duplex1story",-0.004311,0.07144,-0.060346,0.951881,"parametric",NA,NA
