"record_type","model_name","data_name","model_class","formula","created_at","bundle_created_at","n","r","r_squared","adj_r_squared","see","ss_regression","ss_residual","ss_total","df_regression","df_residual","df_total","ms_regression","ms_residual","f","significance","sigma","aic","bic","rmse","mae","term","estimate","std_error","t_value","p_value"
"model","d6_mod_time_23_25","data","lm","ln_sppsf ~ arterial + single_family1story + half_duplex1story + largest + two_plus_baths + powder_room + good + fair + poor + qabove_avg + yb_post_1961 + fireplace + elec_baseboard + central_air + months_17to24","2026-04-01 21:11:27 UTC","2026-04-01 21:11:27 UTC",622,0.487507,0.237663,0.221363,0.592163,66.466184,213.199329,279.665513,13,608,621,5.112783,0.350657,14.580591,0,0.592163,1129.17633,1195.670431,0.585461,0.47423,NA,NA,NA,NA,NA
"model","d6_mod_ln_price_no_ecf_23_25","data","lm","ln_price ~ ln_base_bldgsize_ratio + arterial + single_family1story + half_duplex1story + largest + two_plus_baths + powder_room + good + fair + poor + qabove_avg + yb_post_1961 + fireplace + elec_baseboard + central_air + months_17to24","2026-04-01 21:11:27 UTC","2026-04-01 21:11:27 UTC",622,0.631132,0.398328,0.38445,0.592242,140.950616,212.905384,353.856,14,607,621,10.067901,0.35075,28.703905,0,0.592242,1130.318166,1201.245208,0.585057,0.473894,NA,NA,NA,NA,NA
"model","d6_mod_base_23_25","data","lm","ln_price ~ arterial + single_family1story + half_duplex1story + smallest + small + large + largest + powder_room + good + fair + poor + qabove_avg + yb_post_1961 + ln_garagespaces + elec_baseboard + ecf_6R604 + ecf_6R605 + ecf_6R606 + ecf_6R607 + ecf_6R608 + ecf_6R609 + ecf_6R611 + ecf_6R612 + ecf_6R613 + ecf_6R614 + ecf_6R615 + ecf_6R616 + ecf_6R617 + ecf_6R618 + ecf_6R620 + months_17to24","2026-04-01 21:11:27 UTC","2026-04-01 21:11:27 UTC",622,0.729245,0.531798,0.508863,0.529016,188.180045,165.675955,353.856,29,592,621,6.488967,0.279858,23.186639,0,0.529016,1004.311821,1141.732964,0.516101,0.421526,NA,NA,NA,NA,NA
"model","d6_mod_base_inliers_23_25","data","lm","ln_price ~ arterial + single_family1story + half_duplex1story + smallest + small + large + largest + powder_room + fair + poor + yb_post_1961 + crawl + ln_garagespaces + elec_baseboard + ecf_6R602 + ecf_6R604 + ecf_6R605 + ecf_6R606 + ecf_6R607 + ecf_6R608 + ecf_6R609 + ecf_6R611 + ecf_6R612 + ecf_6R613 + ecf_6R614 + ecf_6R615 + ecf_6R616 + ecf_6R617 + ecf_6R618 + ecf_6R620 + months_1to9 + months_10to16 + months_17to24","2026-04-01 21:11:27 UTC","2026-04-01 21:11:27 UTC",578,0.782745,0.61269,0.5907,0.458576,181.63394,114.819194,296.453134,31,546,577,5.859159,0.210292,27.862075,0,0.458576,772.120557,915.986495,0.445701,0.367177,NA,NA,NA,NA,NA
"model","d6_mod_tasp1_23_25","data","lm","ln_tasp_re ~ arterial + single_family1story + half_duplex1story + smallest + small + large + largest + powder_room + fair + poor + yb_post_1961 + crawl + ln_garagespaces + elec_baseboard + ecf_6R602 + ecf_6R604 + ecf_6R605 + ecf_6R606 + ecf_6R607 + ecf_6R608 + ecf_6R609 + ecf_6R611 + ecf_6R612 + ecf_6R613 + ecf_6R614 + ecf_6R615 + ecf_6R616 + ecf_6R617 + ecf_6R618 + ecf_6R620 + months_1to9 + months_10to16","2026-04-01 21:11:27 UTC","2026-04-01 21:11:27 UTC",578,0.7773,0.604195,0.582487,0.458384,175.44534,114.93324,290.37858,30,547,577,5.848178,0.210116,27.833144,0,0.458384,770.694379,910.200743,0.445922,0.367615,NA,NA,NA,NA,NA
"model","d6_mod_tasp2_23_25","data","lm","ln_tasp_re ~ arterial + single_family1story + half_duplex1story + smallest + small + large + largest + powder_room + good + fair + poor + yb_post_1961 + crawl + garage + elec_baseboard + ecf_6R602 + ecf_6R604 + ecf_6R605 + ecf_6R606 + ecf_6R607 + ecf_6R608 + ecf_6R609 + ecf_6R611 + ecf_6R612 + ecf_6R613 + ecf_6R614 + ecf_6R615 + ecf_6R616 + ecf_6R617 + ecf_6R618 + ecf_6R620","2026-04-01 21:11:27 UTC","2026-04-01 21:11:27 UTC",578,0.776663,0.603205,0.582207,0.458538,175.157842,115.220737,290.37858,29,548,577,6.039926,0.210257,28.726419,0,0.458538,770.138399,905.285189,0.446479,0.36967,NA,NA,NA,NA,NA
"coefficient","d6_mod_time_23_25","data",NA,NA,"2026-04-01 21:11:27 UTC",NA,622,0.487507,0.237663,0.221363,0.592163,66.466184,213.199329,279.665513,13,608,621,5.112783,0.350657,14.580591,0,0.592163,1129.17633,1195.670431,0.585461,0.47423,"(Intercept)",3.741714,0.057075,65.558076,0
"coefficient","d6_mod_time_23_25","data",NA,NA,"2026-04-01 21:11:27 UTC",NA,622,0.487507,0.237663,0.221363,0.592163,66.466184,213.199329,279.665513,13,608,621,5.112783,0.350657,14.580591,0,0.592163,1129.17633,1195.670431,0.585461,0.47423,"arterial",0.288209,0.081153,3.551409,0.000413
"coefficient","d6_mod_time_23_25","data",NA,NA,"2026-04-01 21:11:27 UTC",NA,622,0.487507,0.237663,0.221363,0.592163,66.466184,213.199329,279.665513,13,608,621,5.112783,0.350657,14.580591,0,0.592163,1129.17633,1195.670431,0.585461,0.47423,"single_family1story",0.179247,0.055374,3.237,0.001274
"coefficient","d6_mod_time_23_25","data",NA,NA,"2026-04-01 21:11:27 UTC",NA,622,0.487507,0.237663,0.221363,0.592163,66.466184,213.199329,279.665513,13,608,621,5.112783,0.350657,14.580591,0,0.592163,1129.17633,1195.670431,0.585461,0.47423,"largest",0.269356,0.114565,2.351114,0.019036
